membership,xiaojia,score
2,1,4.111111111
2,2,5.555555556
2,2,5.555555556
2,2,3.444444444
2,2,4
2,2,3.888888889
2,2,3.222222222
2,2,4
2,2,3.777777778
2,2,3.888888889
2,2,3.888888889
2,2,4
2,2,5.444444444
2,2,4.111111111
2,2,4.444444444
2,2,3.777777778
2,2,3.333333333
2,2,5
2,2,4.777777778
2,2,4.666666667
2,2,3.666666667
2,2,4.111111111
2,2,4.222222222
2,2,4
2,2,3.555555556
2,2,6
2,2,4.888888889
2,2,4.444444444
2,2,5.111111111
2,2,3.777777778
2,2,6
2,2,5.111111111
2,2,5.777777778
2,2,3.111111111
2,2,4.888888889
2,2,4
2,2,3
2,2,4.333333333
2,2,4.111111111
2,2,4.111111111
2,2,3.666666667
2,2,3.555555556
2,2,5.222222222
2,2,3.444444444
2,2,5
2,2,4.111111111
2,2,3.222222222
2,2,6
2,2,3
2,2,5
2,2,4
2,2,6.333333333
2,2,3.666666667
2,2,5
2,2,6
2,2,3.444444444
2,2,4.555555556
2,2,4
2,2,3.444444444
2,2,4.555555556
2,2,3.444444444
2,2,3.333333333
2,2,3
2,2,4
2,2,3.666666667
2,2,5.555555556
2,2,3.888888889
2,2,3.777777778
2,2,4.444444444
2,2,4.444444444
2,2,3.666666667
2,2,2.666666667
2,2,3.444444444
2,2,5.222222222
2,2,3.777777778
2,2,2
2,2,4.111111111
2,2,3.888888889
2,2,3.444444444
2,2,4.111111111
2,2,2.666666667
2,2,3.666666667
